"Invoice Date","Capacity Rating","Energy Rating","Invoice Quantity","Sales Zone","Sales Location","Sales Channel","Sales Margin"
"2/28/2023","1","3","5","West","PNE","General Trade","20%"
"2/28/2023","1","3","15","South","HBI","General Trade","20%"
"2/28/2023","1","3","5","West","PNE","General Trade","20%"
"2/28/2023","1","3","5","West","PNE","General Trade","20%"
"2/28/2023","1","3","5","West","PNE","General Trade","20%"
"2/28/2023","1","3","2","West","PNE","General Trade","20%"
"2/28/2023","1","3","15","South","HBI","General Trade","20%"
"2/28/2023","1","3","25","South","HBI","General Trade","20%"
"2/28/2023","1","3","25","South","HBI","General Trade","20%"
"3/3/2023","1","3","2","East","PTA","General Trade","20%"
"3/4/2023","1","3","1","East","PTA","General Trade","20%"
"3/10/2023","1","3","1","East","PTA","General Trade","20%"
"3/28/2023","1","3","3","East","PTA","General Trade","20%"
"3/29/2023","1","3","1","East","PTA","General Trade","20%"
"3/30/2023","1","3","1","East","PTA","General Trade","20%"
"3/2/2023","1","3","20","West","PNE","General Trade","20%"
"3/2/2023","1","3","10","West","PNE","General Trade","20%"
"3/2/2023","1","3","20","West","PNE","General Trade","20%"
"3/9/2023","1","3","1","West","PNE","General Trade","20%"
"3/9/2023","1","3","1","West","PNE","General Trade","20%"
"3/10/2023","1","3","19","West","PNE","General Trade","20%"
"3/10/2023","1","3","20","West","PNE","General Trade","20%"
"3/10/2023","1","3","1","West","PNE","General Trade","20%"
"3/13/2023","1","3","2","West","PNE","General Trade","20%"
"3/15/2023","1","3","20","West","PNE","General Trade","20%"
"3/15/2023","1","3","5","West","PNE","General Trade","20%"
"3/15/2023","1","3","20","West","PNE","General Trade","20%"
"3/15/2023","1","3","5","West","PNE","General Trade","20%"
"3/18/2023","1","3","5","West","PNE","General Trade","20%"
"3/20/2023","1","3","6","West","PNE","General Trade","20%"
"3/21/2023","1","3","13","West","PNE","General Trade","20%"
"3/13/2023","1","3","2","West","PNE","General Trade","20%"
"3/15/2023","1","3","1","West","PNE","General Trade","20%"
"3/30/2023","1","3","4","West","PNE","General Trade","20%"
"3/14/2023","1","3","2","North","DLI","General Trade","20%"
"3/15/2023","1","3","16","North","GRN","General Trade","20%"
"3/3/2023","1","3","24","North","GZB","General Trade","20%"
"3/4/2023","1","3","6","North","GZB","General Trade","20%"
"3/10/2023","1","3","25","North","GZB","General Trade","20%"
"3/10/2023","1","3","25","North","GZB","General Trade","20%"
"3/12/2023","1","3","5","North","GZB","Modern Trade","20%"
"3/7/2023","1","3","3","South","HBI","General Trade","20%"
"3/7/2023","1","3","10","South","HBI","General Trade","20%"
"3/7/2023","1","3","5","South","HBI","General Trade","20%"
"3/7/2023","1","3","5","South","HBI","General Trade","20%"
"3/16/2023","1","3","35","South","HBI","General Trade","20%"
"3/17/2023","1","3","1","South","HBI","General Trade","20%"
"3/17/2023","1","3","2","South","HBI","General Trade","20%"
"3/17/2023","1","3","2","South","HBI","General Trade","20%"
"3/17/2023","1","3","1","South","HBI","General Trade","20%"
"3/17/2023","1","3","2","South","HBI","General Trade","20%"
