Invoice Date,Invoice Quantity,Sales Zone,Sales Location,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,pressure_msl,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m
2023-04-13,75,South,Kochi,26.357,96.51297,25.757,0.0,1010.3,1009.37866,17.699999,2.4149535,63.435013
2023-04-14,120,East,Durgapur,25.483,44.26947,12.433001,0.0,1008.0,997.57135,9.0,6.9247384,297.8972
2023-04-14,20,East,Durgapur,25.483,44.26947,12.433001,0.0,1008.0,997.57135,9.0,6.9247384,297.8972
2023-04-14,80,North,Jaipur,26.2545,34.585754,9.4045,0.0,1008.8,977.95026,6.3,8.854829,296.56497
2023-04-14,110,North,Lucknow,22.45,45.21004,10.0,0.0,1007.6,994.08435,30.000002,8.4963045,306.38446
2023-04-14,20,North,Lucknow,22.45,45.21004,10.0,0.0,1007.6,994.08435,30.000002,8.4963045,306.38446
2023-04-14,120,North,Jammu,19.9355,51.479,9.6355,0.0,1008.9,967.6014,0.0,7.4128532,60.94549
2023-04-14,40,North,Jammu,19.9355,51.479,9.6355,0.0,1008.9,967.6014,0.0,7.4128532,60.94549
2023-04-14,22,South,Madurai,24.355,75.08003,19.655,0.0,1011.4,995.18085,0.0,4.198285,59.03632
2023-04-15,20,South,Kochi,26.307001,94.52638,25.357,0.0,1010.1,1009.1786,49.800003,4.3349743,94.76356
2023-04-16,80,North,Jaipur,25.2045,40.150692,10.7045,0.0,1007.3,976.3897,11.400001,6.638072,282.5288
2023-04-17,80,North,Jaipur,26.654501,40.556778,12.1545,0.0,1006.4,975.66406,6.0,9.693296,248.19853
2023-04-28,110,North,Jaipur,22.7045,89.31493,20.8545,0.0,1010.3,979.04065,30.900002,12.7279215,224.9999
2023-04-28,120,North,Ghaziabad,21.478498,58.603172,13.028501,0.0,1009.1,984.6534,38.4,2.8799999,360.0
2023-04-28,120,North,Jaipur,22.7045,89.31493,20.8545,0.0,1010.3,979.04065,30.900002,12.7279215,224.9999
2023-04-28,5,North,Jaipur,22.7045,89.31493,20.8545,0.0,1010.3,979.04065,30.900002,12.7279215,224.9999
2023-04-30,30,West,Pune,21.314001,82.5081,18.214,0.0,1009.0,945.79846,32.7,5.315336,208.30066
2023-04-30,40,West,Pune,21.314001,82.5081,18.214,0.0,1009.0,945.79846,32.7,5.315336,208.30066
