Invoice Date,Invoice Quantity,Sales Zone,Sales Location
4/25/2024,20,North,JPR
4/25/2024,20,East,DGP
4/25/2024,20,East,DGP
4/25/2024,10,East,DGP
4/25/2024,10,East,DGP
4/25/2024,1,West,PNE
4/25/2024,5,West,PNE
4/25/2024,20,West,PNE
4/25/2024,5,West,PNE
4/25/2024,18,East,DGP
4/26/2024,180,South,KCI
4/26/2024,200,North,DLI
4/26/2024,200,North,DLI
4/26/2024,200,North,DLI
4/26/2024,200,North,GRN
4/26/2024,80,South,KCI
4/26/2024,120,North,GRN
4/26/2024,80,North,GRN
4/26/2024,70,South,KCI
4/26/2024,100,East,DGP
4/26/2024,2,North,JPR
4/26/2024,10,North,JPR
4/26/2024,3,West,PNE
4/26/2024,20,West,PNE
4/26/2024,10,West,PNE
4/26/2024,10,East,DGP
4/27/2024,10,East,DGP
4/27/2024,9,East,DGP
4/27/2024,200,North,DLI
4/27/2024,120,North,GRN
4/27/2024,80,North,GRN
4/27/2024,10,North,JPR
4/27/2024,200,East,DGP
4/27/2024,10,North,JPR
4/27/2024,16,East,DGP
4/27/2024,30,South,KCI
4/27/2024,4,North,JPR
4/27/2024,3,North,GRN
4/27/2024,50,South,KCI
4/27/2024,30,South,KCI
4/27/2024,12,East,DGP
4/27/2024,13,East,DGP
4/28/2024,50,South,KCI
4/28/2024,120,North,GRN
4/28/2024,30,North,GRN
4/28/2024,130,North,GZB
4/28/2024,200,North,DLI
4/28/2024,150,North,GRN
4/28/2024,1,West,PNE
4/28/2024,10,East,DGP
4/29/2024,135,North,GZB
4/29/2024,1,North,JMU
4/29/2024,5,North,JMU
4/29/2024,150,East,DGP
4/29/2024,200,North,DLI
4/29/2024,50,South,HBI
4/29/2024,120,North,GRN
4/29/2024,30,North,GRN
4/29/2024,150,North,GZB
4/29/2024,200,North,DLI
4/30/2024,25,North,JMU
4/30/2024,25,North,JMU
4/30/2024,6,North,JMU
4/30/2024,200,North,DLI
4/30/2024,50,East,DGP
4/30/2024,7,North,GRN
4/30/2024,2,East,DGP
4/30/2024,200,North,DLI
4/30/2024,200,North,DLI
5/1/2024,25,North,JMU
5/1/2024,25,North,JMU
5/2/2024,100,South,MDI
5/2/2024,12,North,LKW
5/2/2024,2,West,PNE
5/3/2024,5,South,HBI
5/3/2024,11,East,DGP
5/3/2024,2,East,DGP
5/3/2024,90,South,MDI
5/3/2024,1,South,HBI
5/3/2024,10,South,HBI
5/3/2024,10,South,HBI
5/3/2024,6,West,PNE
5/4/2024,150,North,JPR
5/4/2024,200,North,JPR
5/4/2024,120,North,JPR
5/4/2024,90,South,HBI
5/4/2024,150,West,PNE
5/4/2024,150,North,LKW
5/5/2024,100,West,BHP
5/6/2024,200,North,DLI
5/6/2024,150,East,DGP
5/6/2024,100,East,DGP
5/6/2024,85,East,DGP
5/7/2024,100,North,JPR
5/7/2024,2,North,JMU
5/8/2024,200,East,DGP
5/8/2024,130,South,KCI
5/8/2024,150,West,PNE
5/8/2024,70,South,HBI
5/8/2024,70,South,HBI
5/9/2024,1,East,DGP
5/9/2024,120,North,JMU
5/9/2024,80,North,JMU
5/9/2024,175,North,JPR
5/9/2024,130,South,HBI
5/9/2024,90,East,DGP
5/9/2024,4,South,HBI
5/9/2024,150,East,DGP
5/9/2024,120,East,DGP
5/9/2024,30,East,DGP
5/9/2024,130,South,KCI
5/9/2024,73,South,KCI
5/9/2024,200,South,KCI
5/10/2024,75,South,KCI
5/10/2024,200,North,GRN
5/10/2024,150,West,PNE
5/10/2024,1,North,JMU
5/10/2024,140,North,JMU
5/10/2024,60,North,JMU
5/11/2024,1,South,KCI
5/11/2024,2,East,DGP
5/11/2024,20,North,GZB
5/11/2024,150,South,HBI
5/12/2024,150,North,GZB
5/12/2024,200,North,DLI
